adjuster,metadata_label,metric,score_gse_to_metabric,score_metabric_to_gse,score_mean
log_transformed,meta_histological_type,MCC,0.0890821759943367,0.0,0.04454108799716835
log_transformed,meta_her2_status,MCC,0.0,-0.00521171400832003,-0.002605857004160015
log_transformed,meta_age_at_diagnosis_combined_lt50,MCC,0.17303982021785785,0.06354162390918591,0.11829072206352188
log_transformed,meta_age_at_diagnosis_combined_50_69,MCC,0.023360969509376144,0.07780840380623448,0.050584686657805314
log_transformed,meta_age_at_diagnosis_combined_ge70,MCC,0.2080497457585138,0.0,0.1040248728792569
log_combat,meta_er_status,MCC,0.7626972509057727,0.7384740004943025,0.7505856257000376
log_combat,meta_menopause_status,MCC,0.30994918656396137,0.27068049559445334,0.29031484107920735
log_combat,meta_sex,MCC,NaN,NaN,NaN
log_combat,meta_age_at_diagnosis,R2,0.2050905935943138,0.22448751528167865,0.21478905443799623
log_combat,meta_chemotherapy,MCC,0.0,-0.035587119800161784,-0.017793559900080892
log_combat,meta_histological_type,MCC,0.2031247525778792,0.25039525510523275,0.22676000384155598
log_combat,meta_her2_status,MCC,0.8220073679209298,0.538365101243465,0.6801862345821974
log_combat,meta_age_at_diagnosis_combined_lt50,MCC,0.3028881770286008,0.3096552297327129,0.3062717033806569
log_combat,meta_age_at_diagnosis_combined_50_69,MCC,0.031495536126187385,0.05231174624598512,0.04190364118608625
log_combat,meta_age_at_diagnosis_combined_ge70,MCC,0.1268479744419642,0.24538453284633258,0.18611625364414838
gmm,meta_er_status,MCC,0.775803284045787,0.7548701220891693,0.7653367030674781
gmm,meta_menopause_status,MCC,0.32332647534312325,0.29452385116246643,0.30892516325279484
gmm,meta_sex,MCC,NaN,NaN,NaN
gmm,meta_age_at_diagnosis,R2,0.22304550317802563,0.24484475460831412,0.23394512889316987
gmm,meta_chemotherapy,MCC,0.0,-0.03886509151280709,-0.019432545756403546
gmm,meta_histological_type,MCC,0.17925347805750813,0.2573272734443713,0.2182903757509397
gmm,meta_her2_status,MCC,0.7630843678033713,0.5506112731054738,0.6568478204544226
gmm,meta_age_at_diagnosis_combined_lt50,MCC,0.29141692411237535,0.323865191436425,0.3076410577744002
gmm,meta_age_at_diagnosis_combined_50_69,MCC,0.02419080638763314,0.02968788988097314,0.02693934813430314
gmm,meta_age_at_diagnosis_combined_ge70,MCC,0.22750898268043485,0.23226238323968124,0.22988568296005804
